54666C,Shenzhen
A89675,Motorola
389AF6,Samsung
E0AA96,Samsung
507705,Samsung
28D436,Jiangsu
D4B27A,ARRIS
44EA4B,Actlas
C4CB6B,Airista
188090,Cisco
786256,HUAWEI
B05508,HUAWEI
B875C0,PayPal
001C71,Emergent
001A93,ERCO
94F665,Ruckus
B090D4,Shenzhen
C0BAE6,Application
8C9F3B,Qingdao
0014B8,Hill-Rom
ACED5C,Intel
842096,SHENZHEN
B4C170,Yi
AC6706,Ruckus
044FAA,Ruckus
589396,Ruckus
001F41,Ruckus
C4108A,Ruckus
F0B052,Ruckus
70DF2F,Cisco
3894E0,Syrotech
34F64B,Intel
F46BEF,Sagemcom
10CDB6,Essential
A4F3E7,Integrated
E43A6E,Shenzhen
7CE2CA,Juniper
9061AE,Intel
6CF9D2,CHENGDU
30B62D,
50184C,Platina
F4B7B3,vivo
CC03D9,Cisco
FCA667,Amazon
C81FEA,Avaya
0027E3,Cisco
0018AE,TVT
8891DD,Racktivity
1C4593,Texas
90EC50,C.O.B.O.
E0D848,Dell
60271C,VIDEOR
00EC0A,Xiaomi
C8D7B0,Samsung
6C60EB,ZHI
74DADA,D-Link
D8F1F0,Pepxim
DCC8F5,Shanghai
88D7F6,ASUSTek
9097F3,Samsung
7C1C68,Samsung
C087EB,Samsung
04714B,IEEE
2C41A1,Bose
4C38D8,ARRIS
447BBB,Shenzhen
9C7BD2,NEOLAB
D0F88C,Motorola
2CB115,Integrated
10D07A,AMPAK
D4C1C8,zte
88D274,zte
002449,Shen
00E18C,Intel
847933,profichip
881544,Cisco
C4ABB2,vivo
80B234,Technicolor
44B412,SIUS
0CB912,JM-DATA
3CA308,Texas
F43E61,SHENZHEN
B4417A,SHENZHEN
185207,SICHUAN
000062,BULL
E8C1D7,Philips
4C8120,Taicang
28A6DB,HUAWEI
14A0F8,HUAWEI
C8F86D,Alcatel-Lucent
6045CB,ASUSTek
00118B,Alcatel-Lucent
00E0B1,Alcatel-Lucent
00E0DA,Alcatel-Lucent
F8BE0D,A2UICT
E442A6,Intel
3C678C,HUAWEI
D4503F,GUANGDONG
388C50,LG
DC0856,Alcatel-Lucent
1CDA27,vivo
90F305,HUMAX
4095BD,NTmore.Co.
98AAFC,IEEE
00143F,Hotway
D055B2,Integrated
144FD7,IEEE
B85510,Zioncom
049573,zte
F0D7AA,Motorola
F8FF0B,Electronic
7C6BF7,NTI
00D318,SPG
3096FB,Samsung
4827EA,Samsung
7C787E,Samsung
245BA7,Apple
70F087,Apple
E0C63C,SICHUAN
000C46,Allied
001F72,QingDao
002365,Insta
6091F3,vivo
28395E,Samsung
38295A,GUANGDONG
88E628,Shenzhen
58238C,Technicolor
CC82EB,KYOCERA
14987D,Technicolor
D4CF37,Symbolic
D47DFC,TECNO
409F38,AzureWave
BC2F3D,vivo
40FA7F,Preh
000DBB,Nippon
2C7E81,ARRIS
407D0F,HUAWEI
68CC6E,HUAWEI
3034D2,Availink
504061,Nokia
00108E,HUGH
E05163,Arcadyan
54E3F6,Alcatel-Lucent
40B034,Hewlett
B816DB,CHANT
40B4CD,Amazon
D481D7,Dell
